show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,semantic_tags
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",,"September 17, 2021",2021,TV-14,111 min,"Dramas, Independent Movies, International Movies","As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",ashwiny-iyer-tiwari | tiwari | abhishek-chaubey | chaubey | abhishek-banerjee | banerjee | rinku-rajguru | rajguru | delzad-hiwale | hiwale | kunal-kapoor | kapoor | zoya-hussain | hussain | nikhil-dwivedi | dwivedi | dramas | independent-movies | international-movies | 2020s
s33,TV Show,Sex Education,,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",United Kingdom,"September 17, 2021",2020,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies","Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",asa-butterfield | butterfield | gillian-anderson | anderson | ncuti-gatwa | gatwa | emma-mackey | mackey | connor-swindells | swindells | kedar-williams-stirling | williams-stirling | british-tv-shows | international-tv-shows | tv-comedies | 2020s | recent | tv-show
s35,TV Show,Tayo and Little Wizards,,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",,"September 17, 2021",2020,TV-Y7,1 Season,Kids' TV,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,dami-lee | lee | jason-lee | bommie-catherine-han | han | jennifer-waescher | waescher | nancy-kim | kim | kids'-tv | 2020s | recent | tv-show | friendship
s37,Movie,The Stronghold,CÃ©dric Jimenez,"Gilles Lellouche, Karim Leklou, FranÃ§ois Civil, AdÃ¨le Exarchopoulos, Kenza Fortas, Cyril Lecomte, MichaÃ«l Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",,"September 17, 2021",2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies","Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",cã©dric-jimenez | jimenez | gilles-lellouche | lellouche | karim-leklou | leklou | franã§ois-civil | civil | adã¨le-exarchopoulos | exarchopoulos | kenza-fortas | fortas | cyril-lecomte | lecomte | action-and-adventure | dramas | international-movies | 2020s | recent | movie
s38,TV Show,Angry Birds,,"Antti PÃ¤Ã¤kkÃ¶nen, HeljÃ¤ Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland,"September 16, 2021",2018,TV-Y7,1 Season,"Kids' TV, TV Comedies","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",antti-pã¤ã¤kkã¶nen | pã¤ã¤kkã¶nen | heljã¤-heikkinen | heikkinen | lynne-guaglione | guaglione | pasi-ruohonen | ruohonen | rauno-ahonen | ahonen | kids'-tv | tv-comedies | 2010s | modern | tv-show | friendship
s39,Movie,Birth of the Dragon,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","China, Canada, United States","September 16, 2021",2017,PG-13,96 min,"Action & Adventure, Dramas","A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",george-nolfi | nolfi | billy-magnussen | magnussen | ron-yuan | yuan | qu-jingjing | jingjing | terry-chen | chen | vanness-wu | jin-xing | xing | action-and-adventure | dramas | 2010s | modern | movie
s40,TV Show,Chhota Bheem,,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,"September 16, 2021",2021,TV-Y7,3 Seasons,Kids' TV,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",vatsal-dubey | dubey | julie-tejwani | tejwani | rupa-bhimani | bhimani | jigna-bhardwaj | bhardwaj | rajesh-kava | kava | mousam | kids'-tv | 2020s | recent | tv-show | friendship
s42,Movie,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",United States,"September 16, 2021",1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas","When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",steven-spielberg | spielberg | roy-scheider | scheider | robert-shaw | shaw | richard-dreyfuss | dreyfuss | lorraine-gary | gary | murray-hamilton | hamilton | carl-gottlieb | gottlieb | action-and-adventure | classic-movies | dramas | 1970s | classic | movie
s43,Movie,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",United States,"September 16, 2021",1978,PG,116 min,"Dramas, Horror Movies, Thrillers","Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",jeannot-szwarc | szwarc | roy-scheider | scheider | lorraine-gary | gary | murray-hamilton | hamilton | joseph-mascolo | mascolo | jeffrey-kramer | kramer | collin-wilcox-paxton | paxton | dramas | horror-movies | thrillers | 1970s | classic | movie
s44,Movie,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",United States,"September 16, 2021",1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers","After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",joe-alves | alves | dennis-quaid | quaid | bess-armstrong | armstrong | simon-maccorkindale | maccorkindale | louis-gossett-jr. | jr. | john-putch | putch | lea-thompson | thompson | action-and-adventure | horror-movies | thrillers | 1980s | classic | movie
s46,Movie,My Heroes Were Cowboys,Tyler Greco,,,"September 16, 2021",2021,PG,23 min,Documentaries,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",tyler-greco | greco | documentaries | 2020s | recent | movie | romance
s47,Movie,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, RubÃ©n Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","South Africa, United States, Japan","September 16, 2021",2012,R,115 min,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,daniel-espinosa | espinosa | denzel-washington | washington | ryan-reynolds | reynolds | vera-farmiga | farmiga | brendan-gleeson | gleeson | sam-shepard | shepard | rubã©n-blades | blades | action-and-adventure | 2010s | modern | movie | thriller
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",,"September 16, 2021",2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",bunmi-ajakaiye | ajakaiye | osas-ighodaro | ighodaro | ini-dima-okojie | dima-okojie | kemi-lala-akindoju | akindoju | toni-tones | tones | ebenezer-eno | eno | eso-okolocha-dike | dike | international-tv-shows | romantic-tv-shows | tv-comedies | 2020s | recent | tv-show
s49,Movie,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",United States,"September 16, 2021",2001,R,122 min,"Dramas, Thrillers",A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,antoine-fuqua | fuqua | denzel-washington | washington | ethan-hawke | hawke | scott-glenn | glenn | tom-berenger | berenger | harris-yulin | yulin | raymond-j.-barry | barry | dramas | thrillers | 2000s | classic | movie
s50,TV Show,Castle and Castle,,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",Nigeria,"September 15, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas","A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",richard-mofe-damijo | mofe-damijo | dakore-akande | akande | bimbo-manuel | manuel | blossom-chukwujekwu | chukwujekwu | deyemi-okanlawon | okanlawon | etim-effiong | effiong | international-tv-shows | tv-dramas | 2020s | recent | tv-show
s51,TV Show,Dharmakshetra,,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",India,"September 15, 2021",2014,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",kashmira-irani | irani | chandan-anand | anand | dinesh-mehta | mehta | ankit-arora | arora | pushkar-goggiaa | goggiaa | anjali-rana | rana | international-tv-shows | tv-dramas | tv-sci-fi-and-fantasy | 2010s | modern | tv-show | action
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",Japan,"September 15, 2021",2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies","With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",toshiya-shinohara | shinohara | kappei-yamaguchi | yamaguchi | satsuki-yukino | yukino | mieko-harada | harada | koji-tsujitani | tsujitani | houko-kuwashima | kuwashima | kumiko-watanabe | watanabe | action-and-adventure | anime-features | international-movies | 2000s | classic | movie
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",Japan,"September 15, 2021",2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,toshiya-shinohara | shinohara | kappei-yamaguchi | yamaguchi | satsuki-yukino | yukino | koji-tsujitani | tsujitani | houko-kuwashima | kuwashima | kumiko-watanabe | watanabe | ken-narita | narita | action-and-adventure | anime-features | international-movies | 2000s | classic | movie
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",Japan,"September 15, 2021",2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies","Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",toshiya-shinohara | shinohara | kappei-yamaguchi | yamaguchi | satsuki-yukino | yukino | koji-tsujitani | tsujitani | houko-kuwashima | kuwashima | kumiko-watanabe | watanabe | noriko-hidaka | hidaka | action-and-adventure | anime-features | international-movies | 2000s | classic | movie
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki",Japan,"September 15, 2021",2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies","A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",toshiya-shinohara | shinohara | kappei-yamaguchi | yamaguchi | satsuki-yukino | yukino | koji-tsujitani | tsujitani | houko-kuwashima | kuwashima | kumiko-watanabe | watanabe | kenichi-ogata | ogata | action-and-adventure | anime-features | international-movies | 2000s | classic | movie
s56,TV Show,Nailed It,,"Nicole Byer, Jacques Torres",United States,"September 15, 2021",2021,TV-PG,6 Seasons,Reality TV,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",nicole-byer | byer | jacques-torres | torres | reality-tv | 2020s | recent | tv-show
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",Japan,"September 15, 2021",2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies","Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",masahiko-murata | murata | junko-takeuchi | takeuchi | chie-nakamura | nakamura | rikiya-koyama | koyama | kazuhiko-inoue | inoue | masaki-terasoma | terasoma | mie-sonozaki | sonozaki | action-and-adventure | anime-features | international-movies | 2010s | modern | movie
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",Japan,"September 15, 2021",2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies","When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",masahiko-murata | murata | junko-takeuchi | takeuchi | chie-nakamura | nakamura | satoshi-hino | hino | rikiya-koyama | koyama | nobuaki-fukuda | fukuda | kenji-hamada | hamada | action-and-adventure | anime-features | international-movies | 2010s | modern | movie
