show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,semantic_tags
s15,TV Show,Crime Stories: India Detectives,,,,"September 22, 2021",2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,crime-investigation | 2020s | recent | british-tv-shows | crime-tv-shows | docuseries
s16,TV Show,Dear White People,,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,"September 22, 2021",2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas","Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",coming-of-age | brandon-p.-bell | richardson | deron-horton | browning | bell | robertson | ashley-blaine-featherson | logan-browning | esposito | giancarlo-esposito | 2020s | recent | tv-comedies | tv-dramas
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave GarcÃ­a, Pablo AzorÃ­n Williams",,,"September 22, 2021",2020,TV-MA,67 min,"Documentaries, International Movies","Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",williams | pablo-azorã­n-williams | pedro-de-echave | echave | otto-skorzeny | hitler | spain | 2020s | recent | documentaries | international-movies
s18,TV Show,Falsa identidad,,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo YÃ¡Ã±ez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, GÃ©raldine BazÃ¡n, Gabriela Roel, Marcus Ornellas",Mexico,"September 22, 2021",2020,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,robinson | sodi | sergio-goyri | camacho | franco | azela-robinson | yã¡ã±ez | zendejas | goyri | eduardo-yã¡ã±ez | mexico | 2020s | recent | crime-tv-shows | spanish-language-tv-shows | tv-dramas
s20,TV Show,Jaguar,,"Blanca SuÃ¡rez, IvÃ¡n Marcos, Ãscar Casas, AdriÃ¡n Lastra, Francesc Garrido, Stefan Weinert, Julia MÃ¶ller, Alicia Chojnowski",,"September 22, 2021",2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure","In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",revenge-story | garrido | suã¡rez | weinert | mã¶ller | casas | chojnowski | ivã¡n-marcos | ãscar-casas | adriã¡n-lastra | julia-mã¶ller | spain | 2020s | recent | international-tv-shows | spanish-language-tv-shows | tv-action-&-adventure
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,,,"September 22, 2021",2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",megaton | olivier-megaton | america | 2020s | recent | crime-tv-shows | docuseries | international-tv-shows
s22,TV Show,Resurrection: Ertugrul,,"Engin Altan DÃ¼zyatan, Serdar GÃ¶khan, HÃ¼lya Darcan, Kaan TaÅaner, Esra BilgiÃ§, Osman Soykut, Serdar Deniz, Cengiz CoÅkun, Reshad Strik, Hande SubaÅÄ±",Turkey,"September 22, 2021",2018,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas","When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",family-drama | deniz | dã¼zyatan | taåaner | darcan | kaan-taåaner | cengiz-coåkun | engin-altan-dã¼zyatan | gã¶khan | serdar-gã¶khan | bilgiã§ | 2010s | modern | international-tv-shows | tv-action-&-adventure | tv-dramas
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam",,"September 21, 2021",1996,TV-PG,161 min,"Comedies, International Movies","Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",family-drama | hassan | heera-rajgopal | nassar | ganesan | kamal-hassan | rajgopal | s.p.-balasubrahmanyam | gemini-ganesan | balasubrahmanyam | meena | k.s.-ravikumar | ravikumar | 1990s | classic | comedies | international-movies
s25,Movie,Jeans,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",India,"September 21, 2021",1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies","When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",family-drama | aishwarya-rai-bachchan | prashanth | nassar | bachchan | lakshmi | sri-lakshmi | shankar | s.-shankar | 1990s | classic | comedies | international-movies | romantic-movies
s26,TV Show,Love on the Spectrum,,Brooke Satchwell,Australia,"September 21, 2021",2021,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV","Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",coming-of-age | brooke-satchwell | satchwell | 2020s | recent | docuseries | international-tv-shows | reality-tv
s28,Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",United States,"September 20, 2021",2010,PG-13,103 min,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",spade | sandler | james | schneider | rob-schneider | salma-hayek | rudolph | david-spade | bello | chris-rock | dugan | dennis-dugan | 2010s | modern | comedies
s30,Movie,Paranoia,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan","United States, India, France","September 19, 2021",2013,PG-13,106 min,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",revenge-story | davidtz | embeth-davidtz | oldman | lucas-till | ford | mcmahon | hemsworth | josh-holloway | liam-hemsworth | amber-heard | luketic | robert-luketic | 2010s | modern | thrillers
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",,"September 17, 2021",2021,TV-14,111 min,"Dramas, Independent Movies, International Movies","As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",kapoor | banerjee | rinku-rajguru | dwivedi | hiwale | abhishek-banerjee | delzad-hiwale | kunal-kapoor | rajguru | zoya-hussain | ashwiny-iyer-tiwari | chaudhary | chaubey | abhishek-chaubey | saket-chaudhary | tiwari | 2020s | recent | dramas | independent-movies | international-movies
s33,TV Show,Sex Education,,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",United Kingdom,"September 17, 2021",2020,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies","Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",coming-of-age | anderson | petrie | ncuti-gatwa | mackey | gillian-anderson | alistair-petrie | connor-swindells | swindells | williams-stirling | butterfield | insecure-otis | maeve | 2020s | recent | british-tv-shows | international-tv-shows | tv-comedies
s35,TV Show,Tayo and Little Wizards,,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",,"September 17, 2021",2020,TV-Y7,1 Season,Kids' TV,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,action-adventure | waescher | kim | nancy-kim | bommie-catherine-han | dami-lee | jennifer-waescher | jason-lee | han | lee | tayo | 2020s | recent | kids'-tv
s37,Movie,The Stronghold,CÃ©dric Jimenez,"Gilles Lellouche, Karim Leklou, FranÃ§ois Civil, AdÃ¨le Exarchopoulos, Kenza Fortas, Cyril Lecomte, MichaÃ«l Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",,"September 17, 2021",2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies","Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",crime-investigation | idir-azougli | gilles-lellouche | civil | kenza-fortas | leklou | cyril-lecomte | michaã«l-abiteboul | abiteboul | fortas | adã¨le-exarchopoulos | cã©dric-jimenez | jimenez | marseille | 2020s | recent | action-&-adventure | dramas | international-movies
s38,TV Show,Angry Birds,,"Antti PÃ¤Ã¤kkÃ¶nen, HeljÃ¤ Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland,"September 16, 2021",2018,TV-Y7,1 Season,"Kids' TV, TV Comedies","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",action-adventure | ruohonen | lynne-guaglione | antti-pã¤ã¤kkã¶nen | heikkinen | heljã¤-heikkinen | guaglione | pã¤ã¤kkã¶nen | rauno-ahonen | ahonen | pasi-ruohonen | chuck | birds-red | 2010s | modern | kids'-tv | tv-comedies
s39,Movie,Birth of the Dragon,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","China, Canada, United States","September 16, 2021",2017,PG-13,96 min,"Action & Adventure, Dramas","A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",coming-of-age | biographical-drama | magnussen | terry-chen | vanness-wu | xia-yu | chen | ng | yu | philip-ng | xing | wu | nolfi | george-nolfi | bruce-lee | shaolin | 2010s | modern | action-&-adventure | dramas
s40,TV Show,Chhota Bheem,,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,"September 16, 2021",2021,TV-Y7,3 Seasons,Kids' TV,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",action-adventure | rupa-bhimani | kava | mousam | jigna-bhardwaj | vatsal-dubey | dubey | swapnil | julie-tejwani | rajesh-kava | bhardwaj | 2020s | recent | kids'-tv
s42,Movie,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",United States,"September 16, 2021",1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas","When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",hamilton | robert-shaw | murray-hamilton | shaw | jeffrey-kramer | gary | kramer | dreyfuss | backlinie | lorraine-gary | steven-spielberg | spielberg | 1970s | classic | action-&-adventure | classic-movies | dramas
s43,Movie,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",United States,"September 16, 2021",1978,PG,116 min,"Dramas, Horror Movies, Thrillers","Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",hamilton | paxton | gruner | dusenberry | murray-hamilton | joseph-mascolo | mascolo | jeffrey-kramer | gary | kramer | jeannot-szwarc | szwarc | martin-brody | 1970s | classic | dramas | horror-movies | thrillers
s44,Movie,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",United States,"September 16, 2021",1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers","After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",family-drama | putch | blasko | thompson | jr. | p.h.-moriarty | dan-blasko | armstrong | maccorkindale | john-putch | moriarty | joe-alves | alves | 1980s | classic | action-&-adventure | horror-movies | thrillers
s46,Movie,My Heroes Were Cowboys,Tyler Greco,,,"September 16, 2021",2021,PG,23 min,Documentaries,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",coming-of-age | greco | tyler-greco | robin-wiltshire's | westerns | 2020s | recent | documentaries
s47,Movie,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, RubÃ©n Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","South Africa, United States, Japan","September 16, 2021",2012,R,115 min,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,coming-of-age | blades | patrick | gleeson | arnezeder | robert-patrick | rubã©n-blades | shepard | farmiga | ryan-reynolds | reynolds | daniel-espinosa | espinosa | matt-weston | cia | 2010s | modern | action-&-adventure
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",,"September 16, 2021",2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",coming-of-age | ini-dima-okojie | tones | ebenezer-eno | kemi-lala-akindoju | fubara | diabuah | ighodaro | osas-ighodaro | patrick-diabuah | eso-okolocha | ajakaiye | bunmi-ajakaiye | 2020s | recent | international-tv-shows | romantic-tv-shows | tv-comedies
s49,Movie,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",United States,"September 16, 2021",2001,R,122 min,"Dramas, Thrillers",A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,coming-of-age | hawke | harris-yulin | cliff-curtis | tom-berenger | raymond-j.-barry | dre | curtis | scott-glenn | glenn | yulin | fuqua | antoine-fuqua | 2000s | contemporary | dramas | thrillers
s50,TV Show,Castle and Castle,,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",Nigeria,"September 15, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas","A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",family-drama | effiong | grey | deyemi-okanlawon | blossom-chukwujekwu | akande | etim-effiong | akintola | bimbo-manuel | denola-grey | mofe-damijo | 2020s | recent | international-tv-shows | tv-dramas
s51,TV Show,Dharmakshetra,,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",India,"September 15, 2021",2014,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",war-drama | pushkar-goggiaa | rana | amit-behl | kumar | dinesh-mehta | behl | anjali-rana | irani | goggiaa | aarya-dharmchand-kumar | 2010s | modern | international-tv-shows | tv-dramas | tv-sci-fi-&-fantasy
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",Japan,"September 15, 2021",2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies","With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",koji-tsujitani | kumiko-watanabe | satsuki-yukino | kuwashima | kenichi-ogata | ogata | noriko-hidaka | hidaka | yukino | kappei-yamaguchi | shinohara | toshiya-shinohara | inuyasha | 2000s | contemporary | action-&-adventure | anime-features | international-movies
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",Japan,"September 15, 2021",2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,supernatural-horror | koji-tsujitani | kumiko-watanabe | satsuki-yukino | kuwashima | yukino | kappei-yamaguchi | ken-narita | watanabe | kikuko-inoue | inoue | shinohara | toshiya-shinohara | the-three-swords-of-the-fang | 2000s | contemporary | action-&-adventure | anime-features | international-movies
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",Japan,"September 15, 2021",2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies","Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",koji-tsujitani | kumiko-watanabe | satsuki-yukino | kuwashima | cho | noriko-hidaka | hidaka | yukino | kappei-yamaguchi | ken-narita | shinohara | toshiya-shinohara | sesshomaru | inuyasha | kikyo | 2000s | contemporary | action-&-adventure | anime-features | international-movies
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki",Japan,"September 15, 2021",2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies","A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",koji-tsujitani | kumiko-watanabe | satsuki-yukino | kuwashima | ogata | noriko-hidaka | hisako-kyoda | hidaka | yukino | kappei-yamaguchi | shinohara | toshiya-shinohara | 2000s | contemporary | action-&-adventure | anime-features | international-movies
s56,TV Show,Nailed It,,"Nicole Byer, Jacques Torres",United States,"September 15, 2021",2021,TV-PG,6 Seasons,Reality TV,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",coming-of-age | jacques-torres | byer | torres | nicole-byer | 2020s | recent | reality-tv
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",Japan,"September 15, 2021",2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies","Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",junko-takeuchi | terasoma | kengo-kawanishi | mie-sonozaki | kazuhiko-inoue | sonozaki | takeuchi | inoue | masaki-terasoma | kawanishi | murata | masahiko-murata | hozuki-castle | naruto | 2010s | modern | action-&-adventure | anime-features | international-movies
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",Japan,"September 15, 2021",2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies","When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",fukuda | junko-takeuchi | nemoto | hino | kenji-hamada | satoshi-hino | hamada | saori-hayami | takeuchi | hayami | murata | masahiko-murata | 2010s | modern | action-&-adventure | anime-features | international-movies
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda",Japan,"September 15, 2021",2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies","While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",mystery | kase | takano | akira-ishida | junko-takeuchi | morikubo | urara-takano | kojima | kaai | takeuchi | showtaro-morikubo | hirotsugu-kawasaki | kawasaki | naruto | temujin | 2000s | contemporary | action-&-adventure | anime-features | international-movies
